metric,value
tests_total,18
count_MATCH,18
count_DIFF,0
count_RE_A,0
count_RE_B,0
count_TLE_A,0
count_TLE_B,0
time_total_a_sec,5.446503
time_avg_a_sec,0.302584
time_min_a_sec,0.010055
time_max_a_sec,0.471517
time_total_b_sec,3.928791
time_avg_b_sec,0.218266
time_min_b_sec,0.008364
time_max_b_sec,0.325246
time_avg_a_sec_MATCH,0.302584
time_avg_b_sec_MATCH,0.218266
