metric,value
tests_total,105
count_MATCH,105
count_DIFF,0
count_RE_A,0
count_RE_B,0
count_TLE_A,0
count_TLE_B,0
time_total_a_sec,21.229220
time_avg_a_sec,0.202183
time_min_a_sec,0.010230
time_max_a_sec,1.506880
time_total_b_sec,20.249339
time_avg_b_sec,0.192851
time_min_b_sec,0.008783
time_max_b_sec,0.741814
time_avg_a_sec_MATCH,0.202183
time_avg_b_sec_MATCH,0.192851
